"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"310M100US35420","New Philadelphia-Dover, OH Micro Area","2787","38882",
"310M100US35620","New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area","327","61927",
"310M100US35660","Niles-Benton Harbor, MI Metro Area","2469","40329",
"310M100US35840","North Port-Bradenton-Sarasota, FL Metro Area","1457","45283",
"310M100US35900","North Wilkesboro, NC Micro Area","3457","31869",
"310M100US35980","Norwich-New London, CT Metro Area","3080","62349",
"310M100US36020","Oak Harbor, WA Micro Area","2833","54839",
"310M100US36100","Ocala, FL Metro Area","1624","37044",
"310M100US36140","Ocean City, NJ Metro Area","3666","53392",
"310M100US36220","Odessa, TX Metro Area","4245","42282",
"310M100US36260","Ogden-Clearfield, UT Metro Area","2203","59171",
"310M100US36300","Ogdensburg-Massena, NY Micro Area","3229","40163",
"310M100US36420","Oklahoma City, OK Metro Area","982","46238",
"310M100US36460","Olean, NY Micro Area","1977","41578",
"310M100US36500","Olympia, WA Metro Area","2332","61011",
"310M100US36540","Omaha-Council Bluffs, NE-IA Metro Area","1442","54060",
"310M100US36660","Opelousas-Eunice, LA Micro Area","3456","33388",
"310M100US36700","Orangeburg, SC Micro Area","3580","31979",
"310M100US36740","Orlando-Kissimmee-Sanford, FL Metro Area","871","46478",
"310M100US36780","Oshkosh-Neenah, WI Metro Area","2994","48177",
"310M100US36860","Ottawa-Streator, IL Micro Area","3132","47898",
"310M100US36980","Owensboro, KY Metro Area","2276","41021",
"310M100US37020","Owosso, MI Micro Area","3767","46528",
"310M100US37100","Oxnard-Thousand Oaks-Ventura, CA Metro Area","1550","71864",
"310M100US37140","Paducah, KY-IL Micro Area","2906","41137",
"310M100US37260","Palatka, FL Micro Area","5113","33842",
"310M100US37340","Palm Bay-Melbourne-Titusville, FL Metro Area","1318","46262",
"310M100US37380","Palm Coast, FL Metro Area","3813","43993",
"310M100US37460","Panama City-Lynn Haven-Panama City Beach, FL Metro Area","2885","44881",
"310M100US37620","Parkersburg-Marietta-Vienna, WV-OH Metro Area","2749","40352",
"310M100US37700","Pascagoula, MS Metro Area","3449","44878",
"310M100US37820","Pendleton-Hermiston, OR Micro Area","2857","43784",
"310M100US37860","Pensacola-Ferry Pass-Brent, FL Metro Area","1982","43974",
"310M100US37900","Peoria, IL Metro Area","1453","50983",
"310M100US37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","681","58095",
"310M100US38060","Phoenix-Mesa-Glendale, AZ Metro Area","478","50385",
"310M100US38220","Pine Bluff, AR Metro Area","4207","33446",
"310M100US38300","Pittsburgh, PA Metro Area","856","46700",
"310M100US38340","Pittsfield, MA Metro Area","3290","44190",
"310M100US38460","Plattsburgh, NY Micro Area","3063","43600",
"310M100US38540","Pocatello, ID Metro Area","4396","39175",
"310M100US38660","Ponce, PR Metro Area","1019","16745",
"310M100US38820","Port Angeles, WA Micro Area","4325","38841",
"310M100US38860","Portland-South Portland-Biddeford, ME Metro Area","1658","56530",
"310M100US38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area","928","53078",
"310M100US38940","Port St. Lucie, FL Metro Area","1769","41346",
"310M100US39020","Portsmouth, OH Micro Area","3925","36859",
"310M100US39060","Pottsville, PA Micro Area","2889","40265",
"310M100US39100","Poughkeepsie-Newburgh-Middletown, NY Metro Area","1989","67269",
"310M100US39140","Prescott, AZ Metro Area","2060","40274",
"310M100US39300","Providence-New Bedford-Fall River, RI-MA Metro Area","916","51935",
"310M100US39340","Provo-Orem, UT Metro Area","1968","54201",
"310M100US39380","Pueblo, CO Metro Area","3093","38326",
"310M100US39460","Punta Gorda, FL Metro Area","3030","42031",
"310M100US39500","Quincy, IL-MO Micro Area","3202","39564",
"310M100US39540","Racine, WI Metro Area","2344","51377",
"310M100US39580","Raleigh-Cary, NC Metro Area","1847","57840",
"310M100US39660","Rapid City, SD Metro Area","3889","47074",
"310M100US39740","Reading, PA Metro Area","1695","51759",
"310M100US39820","Redding, CA Metro Area","1839","41023",
"310M100US39900","Reno-Sparks, NV Metro Area","2030","50699",
"310M100US39980","Richmond, IN Micro Area","2668","36079",
"310M100US40060","Richmond, VA Metro Area","1409","55325",
"310M100US40080","Richmond-Berea, KY Micro Area","2639","40866",
"310M100US40140","Riverside-San Bernardino-Ontario, CA Metro Area","897","53548",
"310M100US40220","Roanoke, VA Metro Area","1819","45569",
"310M100US40260","Roanoke Rapids, NC Micro Area","2597","30888",
"310M100US40340","Rochester, MN Metro Area","2436","59702",
"310M100US40380","Rochester, NY Metro Area","927","50211",
"310M100US40420","Rockford, IL Metro Area","1903","45457",
"310M100US40580","Rocky Mount, NC Metro Area","3326","38077",
"310M100US40660","Rome, GA Metro Area","3400","36934",
"310M100US40700","Roseburg, OR Micro Area","2831","36510",
"310M100US40740","Roswell, NM Micro Area","4364","34325",
"310M100US40780","Russellville, AR Micro Area","4020","38388",
"310M100US40900","Sacramento--Arden-Arcade--Roseville, CA Metro Area","1107","56233",
"310M100US40980","Saginaw-Saginaw Township North, MI Metro Area","1484","41938",
"310M100US41060","St. Cloud, MN Metro Area","1985","50085",
"310M100US41100","St. George, UT Metro Area","3168","49058",
"310M100US41140","St. Joseph, MO-KS Metro Area","2604","43178",
"310M100US41180","St. Louis, MO-IL Metro Area","590","50912",
"310M100US41420","Salem, OR Metro Area","1797","45584",
"310M100US41500","Salinas, CA Metro Area","2569","54534",
"310M100US41540","Salisbury, MD Metro Area","4040","47128",
"310M100US41580","Salisbury, NC Micro Area","2439","37360",
"310M100US41620","Salt Lake City, UT Metro Area","1244","57419",
"310M100US41660","San Angelo, TX Metro Area","3308","38234",
"310M100US41700","San Antonio-New Braunfels, TX Metro Area","755","50225",
